trabajador_id,licencia_actual_id,vuelo_id,nombre_compania,codigo_compania,rol
37,25.0,129.0,BRITISH,BTA,Piloto
15,12.0,77.0,LACSA,LRC,Copiloto
17,28.0,134.0,EASTERN AIRLINES,EAL,Copiloto
21,22.0,54.0,LATAM ECUADOR,XLE,Piloto
8,15.0,0.0,LACSA,LRC,Piloto
59,17.0,53.0,LATAM ARGENTINA,LAM,Piloto
59,17.0,51.0,OCEANAIR,COG,Piloto
59,17.0,73.0,LATAM ARGENTINA,LAM,Copiloto
23,49.0,48.0,MARTINAIR HOLLAND,MPH,Copiloto
17,28.0,134.0,MARTINAIR HOLLAND,MPH,Copiloto
17,28.0,134.0,ETHOPIAN AIRLINES,ETA,Copiloto
8,15.0,64.0,IBERIA,IBE,Copiloto
18,,65.0,BRITISH,BTA,Tripulante de Cabina
23,49.0,130.0,LACSA,LRC,Copiloto
12,,87.0,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina
8,15.0,119.0,LATAM INTER,LAT,Piloto
19,,112.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
10,11.0,0.0,MARTINAIR HOLLAND,MPH,Copiloto
59,48.0,4.0,QANTAS,QAF,Copiloto
25,36.0,119.0,BRITISH,BTA,Copiloto
40,,96.0,NO_COMPANY,NCY,Paramedico
59,17.0,126.0,OCEANAIR,COG,Copiloto
7,7.0,1.0,ALITALIA,AZI,Piloto
4,,105.0,OCEANAIR,COG,Tripulante de Cabina
19,,112.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
22,,136.0,ALITALIA,AZI,Tripulante de Cabina
45,,92.0,LAW,LAW,Paramedico
46,,45.0,UNITED,UAN,Tripulante de Cabina
46,,28.0,UNITED,UAN,Tripulante de Cabina
18,,25.0,LATAM CARGO,UCA,Tripulante de Cabina
59,48.0,52.0,BRITISH,BTA,Copiloto
16,,123.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
15,46.0,131.0,IBERIA,IBE,Copiloto
58,,80.0,NO_COMPANY,NCY,Tripulante de Cabina
31,50.0,14.0,ETHOPIAN AIRLINES,ETA,Copiloto
37,25.0,16.0,LATAM INTER,LAT,Piloto
54,0.0,100.0,LATAM INTER,LAT,Piloto
8,45.0,88.0,LATAM DOMESTICO,LUD,Copiloto
8,45.0,67.0,AEROVIAS DAP (centro/norte),ADC,Piloto
50,,95.0,LAW,LAW,Paramedico
18,,55.0,BRITISH,BTA,Tripulante de Cabina
18,,25.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
37,25.0,83.0,BRITISH,BTA,Copiloto
31,50.0,71.0,NO_COMPANY,NCY,Piloto
23,49.0,82.0,LAW,LAW,Copiloto
17,28.0,90.0,EASTERN AIRLINES,EAL,Copiloto
22,,136.0,LATAM ARGENTINA,LAM,Tripulante de Cabina
7,7.0,19.0,AEROVIAS DAP (centro/norte),ADC,Piloto
59,17.0,3.0,KOREAN AIR,KEA,Copiloto
25,36.0,125.0,EASTERN AIRLINES,EAL,Copiloto
14,,121.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
22,,137.0,OCEANAIR,COG,Tripulante de Cabina
22,,74.0,KALITTA AIR,KAI,Tripulante de Cabina
8,45.0,87.0,ETHOPIAN AIRLINES,ETA,Copiloto
58,,29.0,NO_COMPANY,NCY,Tripulante de Cabina
0,37.0,19.0,LATAM CARGO,UCA,Copiloto
47,,109.0,LATAM ARGENTINA,LAM,Paramedico
0,37.0,19.0,IBERIA,IBE,Copiloto
8,45.0,55.0,LATAM ECUADOR,XLE,Copiloto
7,7.0,8.0,AEROVIAS DAP (centro/norte),ADC,Piloto
24,35.0,112.0,LATAM CARGO,UCA,Piloto
56,,108.0,UNITED,UAN,Tripulante de Cabina
31,50.0,10.0,LATAM ECUADOR,XLE,Piloto
8,15.0,132.0,LATAM INTER,LAT,Copiloto
22,,108.0,EASTERN AIRLINES,EAL,Tripulante de Cabina
59,17.0,13.0,LATAM ARGENTINA,LAM,Piloto
8,45.0,76.0,ETHOPIAN AIRLINES,ETA,Copiloto
25,36.0,29.0,EASTERN AIRLINES,EAL,Piloto
32,,132.0,LATAM CARGO,UCA,Paramedico
34,2.0,89.0,QANTAS,QAF,Piloto
59,17.0,66.0,KOREAN AIR,KEA,Piloto
23,49.0,62.0,LACSA,LRC,Piloto
1,,50.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
49,,138.0,KALITTA AIR,KAI,Paramedico
53,,43.0,KALITTA AIR,KAI,Paramedico
59,17.0,51.0,KALITTA AIR,KAI,Piloto
19,,121.0,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina
2,,91.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
59,48.0,17.0,LATAM ARGENTINA,LAM,Piloto
42,,138.0,LACSA,LRC,Tripulante de Cabina
8,15.0,55.0,LATAM ECUADOR,XLE,Copiloto
59,17.0,29.0,KALITTA AIR,KAI,Copiloto
56,,27.0,KALITTA AIR,KAI,Tripulante de Cabina
21,51.0,111.0,OCEANAIR,COG,Copiloto
8,15.0,110.0,AEROVIAS DAP (centro/norte),ADC,Piloto
23,49.0,26.0,LACSA,LRC,Piloto
19,,135.0,MARTINAIR HOLLAND,MPH,Tripulante de Cabina
59,17.0,9.0,BRITISH,BTA,Copiloto
13,,146.0,KALITTA AIR,KAI,Tripulante de Cabina
59,48.0,59.0,LATAM ARGENTINA,LAM,Copiloto
12,,26.0,LAW,LAW,Tripulante de Cabina
8,15.0,0.0,MARTINAIR HOLLAND,MPH,Piloto
56,,140.0,LATAM ARGENTINA,LAM,Tripulante de Cabina
37,25.0,94.0,KOREAN AIR,KEA,Piloto
5,,75.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
34,41.0,121.0,QANTAS,QAF,Copiloto
58,,128.0,UNITED,UAN,Tripulante de Cabina
37,25.0,81.0,LAW,LAW,Copiloto
18,,103.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
52,,54.0,KALITTA AIR,KAI,Paramedico
10,11.0,0.0,ETHOPIAN AIRLINES,ETA,Copiloto
8,15.0,60.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
21,22.0,140.0,IBERIA,IBE,Piloto
51,,22.0,KALITTA AIR,KAI,Tripulante de Cabina
22,,131.0,UNITED,UAN,Tripulante de Cabina
10,11.0,76.0,IBERIA,IBE,Piloto
25,47.0,112.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
59,48.0,140.0,UNITED,UAN,Copiloto
22,,90.0,EASTERN AIRLINES,EAL,Tripulante de Cabina
32,,146.0,QANTAS,QAF,Paramedico
8,15.0,142.0,IBERIA,IBE,Copiloto
8,15.0,142.0,LATAM ECUADOR,XLE,Copiloto
38,40.0,45.0,EASTERN AIRLINES,EAL,Copiloto
25,36.0,72.0,BRITISH,BTA,Piloto
31,50.0,127.0,LAW,LAW,Piloto
34,2.0,42.0,LATAM DOMESTICO,LUD,Piloto
8,45.0,67.0,LATAM ECUADOR,XLE,Piloto
41,19.0,114.0,KOREAN AIR,KEA,Copiloto
0,37.0,86.0,NO_COMPANY,NCY,Piloto
8,15.0,80.0,LATAM ECUADOR,XLE,Copiloto
22,,24.0,OCEANAIR,COG,Tripulante de Cabina
21,22.0,115.0,KALITTA AIR,KAI,Piloto
8,15.0,41.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
8,45.0,142.0,LATAM INTER,LAT,Copiloto
56,,124.0,KALITTA AIR,KAI,Tripulante de Cabina
59,17.0,140.0,KOREAN AIR,KEA,Copiloto
8,15.0,100.0,IBERIA,IBE,Copiloto
22,,38.0,OCEANAIR,COG,Tripulante de Cabina
24,35.0,21.0,LATAM ECUADOR,XLE,Piloto
33,,91.0,BRITISH,BTA,Tripulante de Cabina
2,,104.0,BRITISH,BTA,Tripulante de Cabina
50,,29.0,LAW,LAW,Paramedico
59,48.0,17.0,UNITED,UAN,Piloto
7,7.0,133.0,ALITALIA,AZI,Copiloto
22,,77.0,KALITTA AIR,KAI,Tripulante de Cabina
52,,41.0,KALITTA AIR,KAI,Paramedico
24,35.0,84.0,LATAM ECUADOR,XLE,Piloto
8,45.0,107.0,LATAM INTER,LAT,Copiloto
8,15.0,88.0,LATAM ARGENTINA,LAM,Copiloto
19,,119.0,LATAM ECUADOR,XLE,Tripulante de Cabina
8,15.0,56.0,LACSA,LRC,Piloto
28,,97.0,LAW,LAW,Tripulante de Cabina
59,17.0,31.0,EASTERN AIRLINES,EAL,Piloto
50,,29.0,BRITISH,BTA,Paramedico
37,25.0,83.0,LATAM INTER,LAT,Copiloto
0,37.0,146.0,NO_COMPANY,NCY,Piloto
8,45.0,107.0,MARTINAIR HOLLAND,MPH,Copiloto
59,48.0,129.0,LATAM ARGENTINA,LAM,Copiloto
23,49.0,110.0,NO_COMPANY,NCY,Copiloto
32,,144.0,LATAM INTER,LAT,Paramedico
47,,98.0,OCEANAIR,COG,Paramedico
8,15.0,12.0,ETHOPIAN AIRLINES,ETA,Piloto
59,17.0,86.0,QANTAS,QAF,Copiloto
8,45.0,107.0,LATAM CARGO,UCA,Copiloto
25,36.0,139.0,EASTERN AIRLINES,EAL,Piloto
22,,108.0,OCEANAIR,COG,Tripulante de Cabina
56,,89.0,KALITTA AIR,KAI,Tripulante de Cabina
21,51.0,38.0,IBERIA,IBE,Piloto
8,45.0,131.0,MARTINAIR HOLLAND,MPH,Piloto
56,,111.0,OCEANAIR,COG,Tripulante de Cabina
59,48.0,86.0,QANTAS,QAF,Copiloto
22,,73.0,LACSA,LRC,Tripulante de Cabina
25,47.0,141.0,BRITISH,BTA,Copiloto
8,45.0,87.0,LATAM DOMESTICO,LUD,Copiloto
12,,113.0,KOREAN AIR,KEA,Tripulante de Cabina
25,36.0,145.0,BRITISH,BTA,Piloto
7,7.0,136.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
19,,6.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
7,7.0,19.0,ALITALIA,AZI,Piloto
0,37.0,143.0,NO_COMPANY,NCY,Copiloto
26,,52.0,MARTINAIR HOLLAND,MPH,Tripulante de Cabina
40,,23.0,ETHOPIAN AIRLINES,ETA,Paramedico
31,50.0,26.0,LATAM ECUADOR,XLE,Copiloto
51,,53.0,KALITTA AIR,KAI,Tripulante de Cabina
8,45.0,12.0,LATAM ARGENTINA,LAM,Piloto
0,37.0,107.0,LATAM CARGO,UCA,Piloto
58,,33.0,BRITISH,BTA,Tripulante de Cabina
34,41.0,102.0,ALITALIA,AZI,Copiloto
56,,109.0,OCEANAIR,COG,Tripulante de Cabina
8,15.0,109.0,AEROVIAS DAP (centro/norte),ADC,Piloto
7,7.0,68.0,ALITALIA,AZI,Piloto
56,,139.0,UNITED,UAN,Tripulante de Cabina
22,,36.0,EASTERN AIRLINES,EAL,Tripulante de Cabina
15,12.0,44.0,IBERIA,IBE,Piloto
5,,40.0,UNITED,UAN,Tripulante de Cabina
59,17.0,35.0,KOREAN AIR,KEA,Copiloto
59,48.0,117.0,QANTAS,QAF,Copiloto
0,37.0,40.0,IBERIA,IBE,Copiloto
59,17.0,51.0,UNITED,UAN,Piloto
21,51.0,56.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
26,,118.0,MARTINAIR HOLLAND,MPH,Tripulante de Cabina
59,48.0,39.0,QANTAS,QAF,Piloto
0,37.0,60.0,LACSA,LRC,Piloto
50,,33.0,BRITISH,BTA,Paramedico
51,,18.0,KALITTA AIR,KAI,Tripulante de Cabina
46,,136.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
24,35.0,147.0,KOREAN AIR,KEA,Piloto
51,,14.0,KALITTA AIR,KAI,Tripulante de Cabina
59,48.0,101.0,NO_COMPANY,NCY,Copiloto
25,47.0,94.0,LATAM CARGO,UCA,Copiloto
9,29.0,106.0,BRITISH,BTA,Piloto
16,,41.0,LATAM ECUADOR,XLE,Tripulante de Cabina
7,7.0,1.0,NO_COMPANY,NCY,Piloto
7,7.0,133.0,NO_COMPANY,NCY,Copiloto
56,,38.0,IBERIA,IBE,Tripulante de Cabina
8,45.0,142.0,ETHOPIAN AIRLINES,ETA,Copiloto
59,17.0,59.0,LAW,LAW,Copiloto
59,17.0,52.0,NO_COMPANY,NCY,Copiloto
7,7.0,141.0,KALITTA AIR,KAI,Piloto
31,50.0,9.0,LAW,LAW,Piloto
21,22.0,136.0,KALITTA AIR,KAI,Piloto
25,36.0,8.0,LATAM ECUADOR,XLE,Copiloto
25,47.0,8.0,EASTERN AIRLINES,EAL,Copiloto
59,48.0,99.0,BRITISH,BTA,Copiloto
37,25.0,91.0,KOREAN AIR,KEA,Copiloto
59,48.0,3.0,ALITALIA,AZI,Copiloto
8,45.0,0.0,AEROVIAS DAP (centro/norte),ADC,Piloto
22,,74.0,LACSA,LRC,Tripulante de Cabina
2,,46.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
7,7.0,8.0,KALITTA AIR,KAI,Piloto
23,49.0,97.0,LACSA,LRC,Piloto
22,,138.0,LACSA,LRC,Tripulante de Cabina
21,22.0,136.0,AEROVIAS DAP (centro/norte),ADC,Piloto
0,37.0,23.0,LATAM CARGO,UCA,Copiloto
59,17.0,129.0,QANTAS,QAF,Copiloto
25,47.0,8.0,LATAM CARGO,UCA,Copiloto
53,,81.0,AEROVIAS DAP (centro/norte),ADC,Paramedico
21,51.0,53.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
35,,106.0,QANTAS,QAF,Paramedico
25,47.0,137.0,EASTERN AIRLINES,EAL,Piloto
38,40.0,123.0,UNITED,UAN,Piloto
59,48.0,66.0,QANTAS,QAF,Piloto
8,15.0,131.0,MARTINAIR HOLLAND,MPH,Piloto
2,,9.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
0,37.0,22.0,LATAM CARGO,UCA,Copiloto
26,,97.0,LAW,LAW,Tripulante de Cabina
24,35.0,147.0,LATAM CARGO,UCA,Piloto
8,15.0,67.0,LATAM CARGO,UCA,Piloto
4,,105.0,KALITTA AIR,KAI,Tripulante de Cabina
25,36.0,112.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
52,,12.0,KALITTA AIR,KAI,Paramedico
59,17.0,2.0,LATAM ARGENTINA,LAM,Piloto
59,48.0,98.0,QANTAS,QAF,Piloto
25,47.0,91.0,EASTERN AIRLINES,EAL,Piloto
59,17.0,35.0,LATAM ARGENTINA,LAM,Copiloto
59,17.0,29.0,UNITED,UAN,Copiloto
10,11.0,76.0,ETHOPIAN AIRLINES,ETA,Piloto
18,,142.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
8,15.0,110.0,ETHOPIAN AIRLINES,ETA,Piloto
25,36.0,128.0,BRITISH,BTA,Piloto
23,49.0,110.0,MARTINAIR HOLLAND,MPH,Copiloto
59,48.0,15.0,LAW,LAW,Copiloto
22,,28.0,ALITALIA,AZI,Tripulante de Cabina
22,,28.0,KALITTA AIR,KAI,Tripulante de Cabina
8,15.0,55.0,LATAM CARGO,UCA,Copiloto
30,,121.0,LATAM DOMESTICO,LUD,Paramedico
1,,45.0,KOREAN AIR,KEA,Tripulante de Cabina
0,37.0,122.0,IBERIA,IBE,Copiloto
25,36.0,144.0,AEROVIAS DAP (centro/norte),ADC,Piloto
47,,77.0,OCEANAIR,COG,Paramedico
25,47.0,125.0,LATAM CARGO,UCA,Copiloto
16,,95.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
8,45.0,56.0,LATAM DOMESTICO,LUD,Piloto
59,17.0,3.0,ALITALIA,AZI,Copiloto
53,,141.0,KALITTA AIR,KAI,Paramedico
59,48.0,4.0,KOREAN AIR,KEA,Copiloto
15,46.0,70.0,LACSA,LRC,Piloto
35,,78.0,QANTAS,QAF,Paramedico
35,,78.0,OCEANAIR,COG,Paramedico
56,,140.0,UNITED,UAN,Tripulante de Cabina
16,,12.0,EASTERN AIRLINES,EAL,Tripulante de Cabina
59,17.0,31.0,ALITALIA,AZI,Piloto
24,35.0,143.0,IBERIA,IBE,Piloto
56,,108.0,BRITISH,BTA,Tripulante de Cabina
28,,134.0,LAW,LAW,Tripulante de Cabina
31,50.0,17.0,ETHOPIAN AIRLINES,ETA,Copiloto
27,,19.0,NO_COMPANY,NCY,Paramedico
25,47.0,127.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
35,,106.0,OCEANAIR,COG,Paramedico
59,17.0,99.0,OCEANAIR,COG,Copiloto
31,50.0,85.0,LAW,LAW,Piloto
25,36.0,145.0,EASTERN AIRLINES,EAL,Piloto
52,,28.0,LAW,LAW,Paramedico
18,,142.0,BRITISH,BTA,Tripulante de Cabina
22,,110.0,ALITALIA,AZI,Tripulante de Cabina
16,,12.0,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina
59,17.0,66.0,BRITISH,BTA,Piloto
56,,27.0,LATAM ARGENTINA,LAM,Tripulante de Cabina
30,,84.0,LATAM ECUADOR,XLE,Paramedico
58,,39.0,NO_COMPANY,NCY,Tripulante de Cabina
8,45.0,109.0,LATAM ECUADOR,XLE,Piloto
21,22.0,124.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
8,45.0,45.0,IBERIA,IBE,Piloto
12,,127.0,LAW,LAW,Tripulante de Cabina
35,,73.0,IBERIA,IBE,Paramedico
22,,131.0,LATAM ARGENTINA,LAM,Tripulante de Cabina
22,,59.0,KALITTA AIR,KAI,Tripulante de Cabina
21,22.0,115.0,LATAM ECUADOR,XLE,Piloto
28,,11.0,LATAM INTER,LAT,Tripulante de Cabina
51,,51.0,LAW,LAW,Tripulante de Cabina
17,28.0,41.0,OCEANAIR,COG,Piloto
58,,119.0,NO_COMPANY,NCY,Tripulante de Cabina
23,49.0,118.0,MARTINAIR HOLLAND,MPH,Copiloto
19,,112.0,MARTINAIR HOLLAND,MPH,Tripulante de Cabina
8,15.0,100.0,LATAM INTER,LAT,Copiloto
59,48.0,57.0,LAW,LAW,Copiloto
22,,110.0,LACSA,LRC,Tripulante de Cabina
59,48.0,20.0,LAW,LAW,Copiloto
53,,27.0,AEROVIAS DAP (centro/norte),ADC,Paramedico
20,,66.0,KOREAN AIR,KEA,Paramedico
59,17.0,3.0,UNITED,UAN,Copiloto
1,,37.0,KOREAN AIR,KEA,Tripulante de Cabina
31,50.0,127.0,AEROVIAS DAP (centro/norte),ADC,Piloto
30,,21.0,LATAM ECUADOR,XLE,Paramedico
8,45.0,144.0,LATAM ECUADOR,XLE,Copiloto
37,25.0,32.0,KOREAN AIR,KEA,Piloto
8,45.0,12.0,LATAM ECUADOR,XLE,Piloto
21,22.0,115.0,IBERIA,IBE,Piloto
37,25.0,94.0,OCEANAIR,COG,Piloto
9,29.0,126.0,MARTINAIR HOLLAND,MPH,Piloto
59,17.0,51.0,NO_COMPANY,NCY,Piloto
59,17.0,108.0,UNITED,UAN,Piloto
52,,137.0,ETHOPIAN AIRLINES,ETA,Paramedico
25,36.0,142.0,BRITISH,BTA,Piloto
56,,0.0,IBERIA,IBE,Tripulante de Cabina
22,,38.0,LATAM ARGENTINA,LAM,Tripulante de Cabina
8,45.0,110.0,AEROVIAS DAP (centro/norte),ADC,Piloto
59,48.0,73.0,KOREAN AIR,KEA,Copiloto
25,47.0,139.0,KALITTA AIR,KAI,Piloto
39,,42.0,QANTAS,QAF,Tripulante de Cabina
52,,140.0,LAW,LAW,Paramedico
58,,87.0,NO_COMPANY,NCY,Tripulante de Cabina
8,45.0,100.0,LATAM ECUADOR,XLE,Copiloto
59,17.0,59.0,ALITALIA,AZI,Copiloto
34,41.0,30.0,LATAM ARGENTINA,LAM,Copiloto
25,36.0,33.0,BRITISH,BTA,Piloto
21,22.0,53.0,KALITTA AIR,KAI,Copiloto
7,7.0,136.0,ALITALIA,AZI,Copiloto
59,17.0,2.0,ALITALIA,AZI,Piloto
31,50.0,85.0,ETHOPIAN AIRLINES,ETA,Piloto
58,,44.0,LACSA,LRC,Tripulante de Cabina
18,,143.0,BRITISH,BTA,Tripulante de Cabina
37,25.0,15.0,OCEANAIR,COG,Piloto
21,51.0,43.0,KALITTA AIR,KAI,Piloto
0,37.0,146.0,LATAM CARGO,UCA,Piloto
5,,101.0,ALITALIA,AZI,Tripulante de Cabina
22,,36.0,OCEANAIR,COG,Tripulante de Cabina
8,15.0,110.0,LACSA,LRC,Piloto
17,28.0,90.0,OCEANAIR,COG,Copiloto
59,48.0,111.0,LAW,LAW,Piloto
25,47.0,137.0,LATAM CARGO,UCA,Piloto
59,17.0,86.0,BRITISH,BTA,Copiloto
7,7.0,68.0,BRITISH,BTA,Piloto
12,,80.0,KOREAN AIR,KEA,Tripulante de Cabina
41,19.0,93.0,ETHOPIAN AIRLINES,ETA,Piloto
22,,24.0,LACSA,LRC,Tripulante de Cabina
59,48.0,17.0,LAW,LAW,Piloto
39,,97.0,QANTAS,QAF,Tripulante de Cabina
8,45.0,45.0,LATAM ARGENTINA,LAM,Piloto
22,,38.0,ALITALIA,AZI,Tripulante de Cabina
2,,91.0,BRITISH,BTA,Tripulante de Cabina
16,,120.0,EASTERN AIRLINES,EAL,Tripulante de Cabina
59,48.0,31.0,UNITED,UAN,Piloto
59,17.0,13.0,QANTAS,QAF,Piloto
59,17.0,111.0,QANTAS,QAF,Piloto
8,45.0,0.0,LATAM ECUADOR,XLE,Piloto
13,,144.0,LATAM CARGO,UCA,Tripulante de Cabina
24,35.0,21.0,IBERIA,IBE,Piloto
59,48.0,73.0,OCEANAIR,COG,Copiloto
37,25.0,2.0,BRITISH,BTA,Copiloto
59,17.0,57.0,BRITISH,BTA,Copiloto
25,47.0,128.0,LATAM CARGO,UCA,Piloto
50,,33.0,LATAM ECUADOR,XLE,Paramedico
53,,141.0,AEROVIAS DAP (centro/norte),ADC,Paramedico
25,47.0,94.0,LATAM ECUADOR,XLE,Copiloto
2,,137.0,BRITISH,BTA,Tripulante de Cabina
59,17.0,35.0,NO_COMPANY,NCY,Copiloto
22,,8.0,KALITTA AIR,KAI,Tripulante de Cabina
37,25.0,83.0,KOREAN AIR,KEA,Copiloto
2,,136.0,LAW,LAW,Tripulante de Cabina
38,31.0,123.0,LATAM DOMESTICO,LUD,Piloto
46,,102.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
59,17.0,48.0,OCEANAIR,COG,Piloto
18,,1.0,LATAM CARGO,UCA,Tripulante de Cabina
8,15.0,144.0,LATAM DOMESTICO,LUD,Copiloto
59,17.0,29.0,BRITISH,BTA,Copiloto
8,45.0,76.0,LATAM ARGENTINA,LAM,Copiloto
8,45.0,132.0,LATAM ECUADOR,XLE,Copiloto
49,,30.0,LATAM DOMESTICO,LUD,Paramedico
2,,4.0,LAW,LAW,Tripulante de Cabina
24,35.0,95.0,ETHOPIAN AIRLINES,ETA,Copiloto
7,7.0,28.0,KALITTA AIR,KAI,Copiloto
34,2.0,42.0,LATAM ARGENTINA,LAM,Piloto
19,,58.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
56,,27.0,IBERIA,IBE,Tripulante de Cabina
24,35.0,63.0,IBERIA,IBE,Copiloto
8,45.0,144.0,LATAM CARGO,UCA,Copiloto
0,37.0,62.0,ALITALIA,AZI,Copiloto
9,29.0,27.0,MARTINAIR HOLLAND,MPH,Piloto
15,46.0,44.0,LACSA,LRC,Piloto
8,45.0,56.0,LACSA,LRC,Piloto
59,17.0,140.0,ALITALIA,AZI,Copiloto
34,41.0,109.0,QANTAS,QAF,Copiloto
25,47.0,141.0,EASTERN AIRLINES,EAL,Copiloto
51,,53.0,LAW,LAW,Tripulante de Cabina
26,,118.0,LAW,LAW,Tripulante de Cabina
25,36.0,138.0,BRITISH,BTA,Copiloto
22,,110.0,OCEANAIR,COG,Tripulante de Cabina
41,19.0,124.0,IBERIA,IBE,Piloto
59,48.0,123.0,NO_COMPANY,NCY,Copiloto
51,,137.0,KALITTA AIR,KAI,Tripulante de Cabina
59,48.0,53.0,OCEANAIR,COG,Piloto
21,22.0,53.0,IBERIA,IBE,Copiloto
58,,29.0,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina
41,19.0,30.0,IBERIA,IBE,Piloto
21,22.0,32.0,OCEANAIR,COG,Copiloto
39,,42.0,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina
25,47.0,81.0,LATAM ECUADOR,XLE,Piloto
16,,25.0,LATAM ECUADOR,XLE,Tripulante de Cabina
7,7.0,19.0,NO_COMPANY,NCY,Piloto
8,45.0,6.0,LATAM ECUADOR,XLE,Copiloto
25,36.0,37.0,KALITTA AIR,KAI,Piloto
25,36.0,112.0,EASTERN AIRLINES,EAL,Copiloto
40,,35.0,LAW,LAW,Paramedico
59,17.0,48.0,LATAM ARGENTINA,LAM,Piloto
