trabajador_id,licencia_actual_id,vuelo_id,nombre_compania,codigo_compania,rol,numero_trabajador
23,49,130,LACSA,LRC,Copiloto,66
12,0,87,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina,67
8,15,119,LATAM INTER,LAT,Piloto,68
19,0,112,LATAM DOMESTICO,LUD,Tripulante de Cabina,69
10,11,0,MARTINAIR HOLLAND,MPH,Copiloto,70
59,48,4,QANTAS,QAF,Copiloto,71
25,36,119,BRITISH,BTA,Copiloto,72
40,0,96,NO_COMPANY,NCY,Paramedico,73
59,17,126,OCEANAIR,COG,Copiloto,74
7,7,1,ALITALIA,AZI,Piloto,75
4,0,105,OCEANAIR,COG,Tripulante de Cabina,76
19,0,112,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,77
22,0,136,ALITALIA,AZI,Tripulante de Cabina,78
45,0,92,LAW,LAW,Paramedico,79
46,0,45,UNITED,UAN,Tripulante de Cabina,80
46,0,28,UNITED,UAN,Tripulante de Cabina,81
18,0,25,LATAM CARGO,UCA,Tripulante de Cabina,82
59,48,52,BRITISH,BTA,Copiloto,83
16,0,123,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,84
15,46,131,IBERIA,IBE,Copiloto,85
58,0,80,NO_COMPANY,NCY,Tripulante de Cabina,86
31,50,14,ETHOPIAN AIRLINES,ETA,Copiloto,87
37,25,16,LATAM INTER,LAT,Piloto,88
54,0,100,LATAM INTER,LAT,Piloto,89
8,45,88,LATAM DOMESTICO,LUD,Copiloto,90
8,45,67,AEROVIAS DAP (centro/norte),ADC,Piloto,91
50,0,95,LAW,LAW,Paramedico,92
18,0,55,BRITISH,BTA,Tripulante de Cabina,93
18,0,25,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,94
37,25,83,BRITISH,BTA,Copiloto,95
31,50,71,NO_COMPANY,NCY,Piloto,96
23,49,82,LAW,LAW,Copiloto,97
17,28,90,EASTERN AIRLINES,EAL,Copiloto,98
22,0,136,LATAM ARGENTINA,LAM,Tripulante de Cabina,99
7,7,19,AEROVIAS DAP (centro/norte),ADC,Piloto,100
59,17,3,KOREAN AIR,KEA,Copiloto,101
25,36,125,EASTERN AIRLINES,EAL,Copiloto,102
14,0,121,LATAM DOMESTICO,LUD,Tripulante de Cabina,103
22,0,137,OCEANAIR,COG,Tripulante de Cabina,104
22,0,74,KALITTA AIR,KAI,Tripulante de Cabina,105
8,45,87,ETHOPIAN AIRLINES,ETA,Copiloto,106
58,0,29,NO_COMPANY,NCY,Tripulante de Cabina,107
0,37,19,LATAM CARGO,UCA,Copiloto,108
47,0,109,LATAM ARGENTINA,LAM,Paramedico,109
0,37,19,IBERIA,IBE,Copiloto,110
8,45,55,LATAM ECUADOR,XLE,Copiloto,111
7,7,8,AEROVIAS DAP (centro/norte),ADC,Piloto,112
24,35,112,LATAM CARGO,UCA,Piloto,113
56,0,108,UNITED,UAN,Tripulante de Cabina,114
31,50,10,LATAM ECUADOR,XLE,Piloto,115
8,15,132,LATAM INTER,LAT,Copiloto,116
22,0,108,EASTERN AIRLINES,EAL,Tripulante de Cabina,117
59,17,13,LATAM ARGENTINA,LAM,Piloto,118
8,45,76,ETHOPIAN AIRLINES,ETA,Copiloto,119
25,36,29,EASTERN AIRLINES,EAL,Piloto,120
32,0,132,LATAM CARGO,UCA,Paramedico,121
34,2,89,QANTAS,QAF,Piloto,122
59,17,66,KOREAN AIR,KEA,Piloto,123
23,49,62,LACSA,LRC,Piloto,124
1,0,50,LATAM DOMESTICO,LUD,Tripulante de Cabina,125
49,0,138,KALITTA AIR,KAI,Paramedico,126
53,0,43,KALITTA AIR,KAI,Paramedico,127
59,17,51,KALITTA AIR,KAI,Piloto,128
19,0,121,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina,129
2,0,91,LATAM DOMESTICO,LUD,Tripulante de Cabina,130
59,48,17,LATAM ARGENTINA,LAM,Piloto,131
42,0,138,LACSA,LRC,Tripulante de Cabina,132
8,15,55,LATAM ECUADOR,XLE,Copiloto,133
59,17,29,KALITTA AIR,KAI,Copiloto,134
56,0,27,KALITTA AIR,KAI,Tripulante de Cabina,135
21,51,111,OCEANAIR,COG,Copiloto,136
8,15,110,AEROVIAS DAP (centro/norte),ADC,Piloto,137
23,49,26,LACSA,LRC,Piloto,138
19,0,135,MARTINAIR HOLLAND,MPH,Tripulante de Cabina,139
59,17,9,BRITISH,BTA,Copiloto,140
13,0,146,KALITTA AIR,KAI,Tripulante de Cabina,141
59,48,59,LATAM ARGENTINA,LAM,Copiloto,142
12,0,26,LAW,LAW,Tripulante de Cabina,143
8,15,0,MARTINAIR HOLLAND,MPH,Piloto,144
56,0,140,LATAM ARGENTINA,LAM,Tripulante de Cabina,145
37,25,94,KOREAN AIR,KEA,Piloto,146
5,0,75,LATAM DOMESTICO,LUD,Tripulante de Cabina,147
34,41,121,QANTAS,QAF,Copiloto,148
58,0,128,UNITED,UAN,Tripulante de Cabina,149
37,25,81,LAW,LAW,Copiloto,150
18,0,103,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,151
52,0,54,KALITTA AIR,KAI,Paramedico,152
10,11,0,ETHOPIAN AIRLINES,ETA,Copiloto,153
8,15,60,AEROVIAS DAP (centro/norte),ADC,Copiloto,154
21,22,140,IBERIA,IBE,Piloto,155
51,0,22,KALITTA AIR,KAI,Tripulante de Cabina,156
22,0,131,UNITED,UAN,Tripulante de Cabina,157
10,11,76,IBERIA,IBE,Piloto,158
25,47,112,AEROVIAS DAP (centro/norte),ADC,Copiloto,159
59,48,140,UNITED,UAN,Copiloto,160
22,0,90,EASTERN AIRLINES,EAL,Tripulante de Cabina,161
32,0,146,QANTAS,QAF,Paramedico,162
8,15,142,IBERIA,IBE,Copiloto,163
8,15,142,LATAM ECUADOR,XLE,Copiloto,164
38,40,45,EASTERN AIRLINES,EAL,Copiloto,165
25,36,72,BRITISH,BTA,Piloto,166
31,50,127,LAW,LAW,Piloto,167
34,2,42,LATAM DOMESTICO,LUD,Piloto,168
8,45,67,LATAM ECUADOR,XLE,Piloto,169
41,19,114,KOREAN AIR,KEA,Copiloto,170
0,37,86,NO_COMPANY,NCY,Piloto,171
8,15,80,LATAM ECUADOR,XLE,Copiloto,172
22,0,24,OCEANAIR,COG,Tripulante de Cabina,173
21,22,115,KALITTA AIR,KAI,Piloto,174
8,15,41,AEROVIAS DAP (centro/norte),ADC,Copiloto,175
8,45,142,LATAM INTER,LAT,Copiloto,176
56,0,124,KALITTA AIR,KAI,Tripulante de Cabina,177
59,17,140,KOREAN AIR,KEA,Copiloto,178
8,15,100,IBERIA,IBE,Copiloto,179
22,0,38,OCEANAIR,COG,Tripulante de Cabina,180
24,35,21,LATAM ECUADOR,XLE,Piloto,181
33,0,91,BRITISH,BTA,Tripulante de Cabina,182
2,0,104,BRITISH,BTA,Tripulante de Cabina,183
50,0,29,LAW,LAW,Paramedico,184
59,48,17,UNITED,UAN,Piloto,185
7,7,133,ALITALIA,AZI,Copiloto,186
22,0,77,KALITTA AIR,KAI,Tripulante de Cabina,187
52,0,41,KALITTA AIR,KAI,Paramedico,188
24,35,84,LATAM ECUADOR,XLE,Piloto,189
8,45,107,LATAM INTER,LAT,Copiloto,190
8,15,88,LATAM ARGENTINA,LAM,Copiloto,191
19,0,119,LATAM ECUADOR,XLE,Tripulante de Cabina,192
8,15,56,LACSA,LRC,Piloto,193
28,0,97,LAW,LAW,Tripulante de Cabina,194
59,17,31,EASTERN AIRLINES,EAL,Piloto,195
50,0,29,BRITISH,BTA,Paramedico,196
37,25,83,LATAM INTER,LAT,Copiloto,197
0,37,146,NO_COMPANY,NCY,Piloto,198
8,45,107,MARTINAIR HOLLAND,MPH,Copiloto,199
59,48,129,LATAM ARGENTINA,LAM,Copiloto,200
23,49,110,NO_COMPANY,NCY,Copiloto,201
32,0,144,LATAM INTER,LAT,Paramedico,202
47,0,98,OCEANAIR,COG,Paramedico,203
8,15,12,ETHOPIAN AIRLINES,ETA,Piloto,204
59,17,86,QANTAS,QAF,Copiloto,205
8,45,107,LATAM CARGO,UCA,Copiloto,206
25,36,139,EASTERN AIRLINES,EAL,Piloto,207
22,0,108,OCEANAIR,COG,Tripulante de Cabina,208
56,0,89,KALITTA AIR,KAI,Tripulante de Cabina,209
21,51,38,IBERIA,IBE,Piloto,210
8,45,131,MARTINAIR HOLLAND,MPH,Piloto,211
56,0,111,OCEANAIR,COG,Tripulante de Cabina,212
59,48,86,QANTAS,QAF,Copiloto,213
22,0,73,LACSA,LRC,Tripulante de Cabina,214
25,47,141,BRITISH,BTA,Copiloto,215
8,45,87,LATAM DOMESTICO,LUD,Copiloto,216
12,0,113,KOREAN AIR,KEA,Tripulante de Cabina,217
25,36,145,BRITISH,BTA,Piloto,218
7,7,136,AEROVIAS DAP (centro/norte),ADC,Copiloto,219
19,0,6,LATAM DOMESTICO,LUD,Tripulante de Cabina,220
7,7,19,ALITALIA,AZI,Piloto,221
0,37,143,NO_COMPANY,NCY,Copiloto,222
26,0,52,MARTINAIR HOLLAND,MPH,Tripulante de Cabina,223
40,0,23,ETHOPIAN AIRLINES,ETA,Paramedico,224
31,50,26,LATAM ECUADOR,XLE,Copiloto,225
51,0,53,KALITTA AIR,KAI,Tripulante de Cabina,226
8,45,12,LATAM ARGENTINA,LAM,Piloto,227
0,37,107,LATAM CARGO,UCA,Piloto,228
58,0,33,BRITISH,BTA,Tripulante de Cabina,229
34,41,102,ALITALIA,AZI,Copiloto,230
56,0,109,OCEANAIR,COG,Tripulante de Cabina,231
8,15,109,AEROVIAS DAP (centro/norte),ADC,Piloto,232
7,7,68,ALITALIA,AZI,Piloto,233
56,0,139,UNITED,UAN,Tripulante de Cabina,234
22,0,36,EASTERN AIRLINES,EAL,Tripulante de Cabina,235
15,12,44,IBERIA,IBE,Piloto,236
5,0,40,UNITED,UAN,Tripulante de Cabina,237
59,17,35,KOREAN AIR,KEA,Copiloto,238
59,48,117,QANTAS,QAF,Copiloto,239
0,37,40,IBERIA,IBE,Copiloto,240
59,17,51,UNITED,UAN,Piloto,241
21,51,56,AEROVIAS DAP (centro/norte),ADC,Copiloto,242
26,0,118,MARTINAIR HOLLAND,MPH,Tripulante de Cabina,243
59,48,39,QANTAS,QAF,Piloto,244
0,37,60,LACSA,LRC,Piloto,245
50,0,33,BRITISH,BTA,Paramedico,246
51,0,18,KALITTA AIR,KAI,Tripulante de Cabina,247
46,0,136,LATAM DOMESTICO,LUD,Tripulante de Cabina,248
24,35,147,KOREAN AIR,KEA,Piloto,249
51,0,14,KALITTA AIR,KAI,Tripulante de Cabina,250
59,48,101,NO_COMPANY,NCY,Copiloto,251
25,47,94,LATAM CARGO,UCA,Copiloto,252
9,29,106,BRITISH,BTA,Piloto,253
16,0,41,LATAM ECUADOR,XLE,Tripulante de Cabina,254
7,7,1,NO_COMPANY,NCY,Piloto,255
7,7,133,NO_COMPANY,NCY,Copiloto,256
56,0,38,IBERIA,IBE,Tripulante de Cabina,257
8,45,142,ETHOPIAN AIRLINES,ETA,Copiloto,258
59,17,59,LAW,LAW,Copiloto,259
59,17,52,NO_COMPANY,NCY,Copiloto,260
7,7,141,KALITTA AIR,KAI,Piloto,261
31,50,9,LAW,LAW,Piloto,262
21,22,136,KALITTA AIR,KAI,Piloto,263
25,36,8,LATAM ECUADOR,XLE,Copiloto,264
25,47,8,EASTERN AIRLINES,EAL,Copiloto,265
59,48,99,BRITISH,BTA,Copiloto,266
37,25,91,KOREAN AIR,KEA,Copiloto,267
59,48,3,ALITALIA,AZI,Copiloto,268
8,45,0,AEROVIAS DAP (centro/norte),ADC,Piloto,269
22,0,74,LACSA,LRC,Tripulante de Cabina,270
2,0,46,LATAM DOMESTICO,LUD,Tripulante de Cabina,271
7,7,8,KALITTA AIR,KAI,Piloto,272
23,49,97,LACSA,LRC,Piloto,273
22,0,138,LACSA,LRC,Tripulante de Cabina,274
21,22,136,AEROVIAS DAP (centro/norte),ADC,Piloto,275
0,37,23,LATAM CARGO,UCA,Copiloto,276
59,17,129,QANTAS,QAF,Copiloto,277
25,47,8,LATAM CARGO,UCA,Copiloto,278
53,0,81,AEROVIAS DAP (centro/norte),ADC,Paramedico,279
21,51,53,AEROVIAS DAP (centro/norte),ADC,Copiloto,280
35,0,106,QANTAS,QAF,Paramedico,281
25,47,137,EASTERN AIRLINES,EAL,Piloto,282
38,40,123,UNITED,UAN,Piloto,283
59,48,66,QANTAS,QAF,Piloto,284
8,15,131,MARTINAIR HOLLAND,MPH,Piloto,285
2,0,9,LATAM DOMESTICO,LUD,Tripulante de Cabina,286
0,37,22,LATAM CARGO,UCA,Copiloto,287
26,0,97,LAW,LAW,Tripulante de Cabina,288
24,35,147,LATAM CARGO,UCA,Piloto,289
8,15,67,LATAM CARGO,UCA,Piloto,290
4,0,105,KALITTA AIR,KAI,Tripulante de Cabina,291
25,36,112,AEROVIAS DAP (centro/norte),ADC,Copiloto,292
52,0,12,KALITTA AIR,KAI,Paramedico,293
59,17,2,LATAM ARGENTINA,LAM,Piloto,294
59,48,98,QANTAS,QAF,Piloto,295
25,47,91,EASTERN AIRLINES,EAL,Piloto,296
59,17,35,LATAM ARGENTINA,LAM,Copiloto,297
59,17,29,UNITED,UAN,Copiloto,298
10,11,76,ETHOPIAN AIRLINES,ETA,Piloto,299
18,0,142,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,300
8,15,110,ETHOPIAN AIRLINES,ETA,Piloto,301
25,36,128,BRITISH,BTA,Piloto,302
23,49,110,MARTINAIR HOLLAND,MPH,Copiloto,303
59,48,15,LAW,LAW,Copiloto,304
22,0,28,ALITALIA,AZI,Tripulante de Cabina,305
22,0,28,KALITTA AIR,KAI,Tripulante de Cabina,306
8,15,55,LATAM CARGO,UCA,Copiloto,307
30,0,121,LATAM DOMESTICO,LUD,Paramedico,308
1,0,45,KOREAN AIR,KEA,Tripulante de Cabina,309
0,37,122,IBERIA,IBE,Copiloto,310
25,36,144,AEROVIAS DAP (centro/norte),ADC,Piloto,311
47,0,77,OCEANAIR,COG,Paramedico,312
25,47,125,LATAM CARGO,UCA,Copiloto,313
16,0,95,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,314
8,45,56,LATAM DOMESTICO,LUD,Piloto,315
59,17,3,ALITALIA,AZI,Copiloto,316
53,0,141,KALITTA AIR,KAI,Paramedico,317
59,48,4,KOREAN AIR,KEA,Copiloto,318
15,46,70,LACSA,LRC,Piloto,319
35,0,78,QANTAS,QAF,Paramedico,320
35,0,78,OCEANAIR,COG,Paramedico,321
56,0,140,UNITED,UAN,Tripulante de Cabina,322
16,0,12,EASTERN AIRLINES,EAL,Tripulante de Cabina,323
59,17,31,ALITALIA,AZI,Piloto,324
24,35,143,IBERIA,IBE,Piloto,325
56,0,108,BRITISH,BTA,Tripulante de Cabina,326
28,0,134,LAW,LAW,Tripulante de Cabina,327
31,50,17,ETHOPIAN AIRLINES,ETA,Copiloto,328
27,0,19,NO_COMPANY,NCY,Paramedico,329
25,47,127,AEROVIAS DAP (centro/norte),ADC,Copiloto,330
35,0,106,OCEANAIR,COG,Paramedico,331
59,17,99,OCEANAIR,COG,Copiloto,332
31,50,85,LAW,LAW,Piloto,333
25,36,145,EASTERN AIRLINES,EAL,Piloto,334
52,0,28,LAW,LAW,Paramedico,335
18,0,142,BRITISH,BTA,Tripulante de Cabina,336
22,0,110,ALITALIA,AZI,Tripulante de Cabina,337
16,0,12,ETHOPIAN AIRLINES,ETA,Tripulante de Cabina,338
59,17,66,BRITISH,BTA,Piloto,339
56,0,27,LATAM ARGENTINA,LAM,Tripulante de Cabina,340
30,0,84,LATAM ECUADOR,XLE,Paramedico,341
58,0,39,NO_COMPANY,NCY,Tripulante de Cabina,342
8,45,109,LATAM ECUADOR,XLE,Piloto,343
21,22,124,AEROVIAS DAP (centro/norte),ADC,Copiloto,344
8,45,45,IBERIA,IBE,Piloto,345
12,0,127,LAW,LAW,Tripulante de Cabina,346
35,0,73,IBERIA,IBE,Paramedico,347
22,0,131,LATAM ARGENTINA,LAM,Tripulante de Cabina,348
22,0,59,KALITTA AIR,KAI,Tripulante de Cabina,349
21,22,115,LATAM ECUADOR,XLE,Piloto,350
28,0,11,LATAM INTER,LAT,Tripulante de Cabina,351
51,0,51,LAW,LAW,Tripulante de Cabina,352
17,28,41,OCEANAIR,COG,Piloto,353
58,0,119,NO_COMPANY,NCY,Tripulante de Cabina,354
23,49,118,MARTINAIR HOLLAND,MPH,Copiloto,355
19,0,112,MARTINAIR HOLLAND,MPH,Tripulante de Cabina,356
8,15,100,LATAM INTER,LAT,Copiloto,357
59,48,57,LAW,LAW,Copiloto,358
22,0,110,LACSA,LRC,Tripulante de Cabina,359
59,48,20,LAW,LAW,Copiloto,360
53,0,27,AEROVIAS DAP (centro/norte),ADC,Paramedico,361
20,0,66,KOREAN AIR,KEA,Paramedico,362
59,17,3,UNITED,UAN,Copiloto,363
1,0,37,KOREAN AIR,KEA,Tripulante de Cabina,364
31,50,127,AEROVIAS DAP (centro/norte),ADC,Piloto,365
30,0,21,LATAM ECUADOR,XLE,Paramedico,366
8,45,144,LATAM ECUADOR,XLE,Copiloto,367
37,25,32,KOREAN AIR,KEA,Piloto,368
8,45,12,LATAM ECUADOR,XLE,Piloto,369
21,22,115,IBERIA,IBE,Piloto,370
37,25,94,OCEANAIR,COG,Piloto,371
9,29,126,MARTINAIR HOLLAND,MPH,Piloto,372
59,17,51,NO_COMPANY,NCY,Piloto,373
59,17,108,UNITED,UAN,Piloto,374
52,0,137,ETHOPIAN AIRLINES,ETA,Paramedico,375
25,36,142,BRITISH,BTA,Piloto,376
56,0,0,IBERIA,IBE,Tripulante de Cabina,377
22,0,38,LATAM ARGENTINA,LAM,Tripulante de Cabina,378
8,45,110,AEROVIAS DAP (centro/norte),ADC,Piloto,379
59,48,73,KOREAN AIR,KEA,Copiloto,380
25,47,139,KALITTA AIR,KAI,Piloto,381
39,0,42,QANTAS,QAF,Tripulante de Cabina,382
52,0,140,LAW,LAW,Paramedico,383
58,0,87,NO_COMPANY,NCY,Tripulante de Cabina,384
8,45,100,LATAM ECUADOR,XLE,Copiloto,385
59,17,59,ALITALIA,AZI,Copiloto,386
34,41,30,LATAM ARGENTINA,LAM,Copiloto,387
25,36,33,BRITISH,BTA,Piloto,388
21,22,53,KALITTA AIR,KAI,Copiloto,389
7,7,136,ALITALIA,AZI,Copiloto,390
59,17,2,ALITALIA,AZI,Piloto,391
31,50,85,ETHOPIAN AIRLINES,ETA,Piloto,392
58,0,44,LACSA,LRC,Tripulante de Cabina,393
18,0,143,BRITISH,BTA,Tripulante de Cabina,394
37,25,15,OCEANAIR,COG,Piloto,395
21,51,43,KALITTA AIR,KAI,Piloto,396
0,37,146,LATAM CARGO,UCA,Piloto,397
5,0,101,ALITALIA,AZI,Tripulante de Cabina,398
22,0,36,OCEANAIR,COG,Tripulante de Cabina,399
8,15,110,LACSA,LRC,Piloto,400
17,28,90,OCEANAIR,COG,Copiloto,401
59,48,111,LAW,LAW,Piloto,402
25,47,137,LATAM CARGO,UCA,Piloto,403
59,17,86,BRITISH,BTA,Copiloto,404
7,7,68,BRITISH,BTA,Piloto,405
12,0,80,KOREAN AIR,KEA,Tripulante de Cabina,406
41,19,93,ETHOPIAN AIRLINES,ETA,Piloto,407
22,0,24,LACSA,LRC,Tripulante de Cabina,408
59,48,17,LAW,LAW,Piloto,409
39,0,97,QANTAS,QAF,Tripulante de Cabina,410
8,45,45,LATAM ARGENTINA,LAM,Piloto,411
22,0,38,ALITALIA,AZI,Tripulante de Cabina,412
2,0,91,BRITISH,BTA,Tripulante de Cabina,413
16,0,120,EASTERN AIRLINES,EAL,Tripulante de Cabina,414
59,48,31,UNITED,UAN,Piloto,415
59,17,13,QANTAS,QAF,Piloto,416
59,17,111,QANTAS,QAF,Piloto,417
8,45,0,LATAM ECUADOR,XLE,Piloto,418
13,0,144,LATAM CARGO,UCA,Tripulante de Cabina,419
24,35,21,IBERIA,IBE,Piloto,420
59,48,73,OCEANAIR,COG,Copiloto,421
37,25,2,BRITISH,BTA,Copiloto,422
59,17,57,BRITISH,BTA,Copiloto,423
25,47,128,LATAM CARGO,UCA,Piloto,424
50,0,33,LATAM ECUADOR,XLE,Paramedico,425
53,0,141,AEROVIAS DAP (centro/norte),ADC,Paramedico,426
25,47,94,LATAM ECUADOR,XLE,Copiloto,427
2,0,137,BRITISH,BTA,Tripulante de Cabina,428
59,17,35,NO_COMPANY,NCY,Copiloto,429
22,0,8,KALITTA AIR,KAI,Tripulante de Cabina,430
37,25,83,KOREAN AIR,KEA,Copiloto,431
2,0,136,LAW,LAW,Tripulante de Cabina,432
38,31,123,LATAM DOMESTICO,LUD,Piloto,433
46,0,102,LATAM DOMESTICO,LUD,Tripulante de Cabina,434
59,17,48,OCEANAIR,COG,Piloto,435
18,0,1,LATAM CARGO,UCA,Tripulante de Cabina,436
8,15,144,LATAM DOMESTICO,LUD,Copiloto,437
59,17,29,BRITISH,BTA,Copiloto,438
8,45,76,LATAM ARGENTINA,LAM,Copiloto,439
8,45,132,LATAM ECUADOR,XLE,Copiloto,440
49,0,30,LATAM DOMESTICO,LUD,Paramedico,441
2,0,4,LAW,LAW,Tripulante de Cabina,442
24,35,95,ETHOPIAN AIRLINES,ETA,Copiloto,443
7,7,28,KALITTA AIR,KAI,Copiloto,444
34,2,42,LATAM ARGENTINA,LAM,Piloto,445
19,0,58,LATAM DOMESTICO,LUD,Tripulante de Cabina,446
56,0,27,IBERIA,IBE,Tripulante de Cabina,447
24,35,63,IBERIA,IBE,Copiloto,448
8,45,144,LATAM CARGO,UCA,Copiloto,449
0,37,62,ALITALIA,AZI,Copiloto,450
9,29,27,MARTINAIR HOLLAND,MPH,Piloto,451
15,46,44,LACSA,LRC,Piloto,452
8,45,56,LACSA,LRC,Piloto,453
59,17,140,ALITALIA,AZI,Copiloto,454
34,41,109,QANTAS,QAF,Copiloto,455
25,47,141,EASTERN AIRLINES,EAL,Copiloto,456
51,0,53,LAW,LAW,Tripulante de Cabina,457
26,0,118,LAW,LAW,Tripulante de Cabina,458
25,36,138,BRITISH,BTA,Copiloto,459
22,0,110,OCEANAIR,COG,Tripulante de Cabina,460
41,19,124,IBERIA,IBE,Piloto,461
59,48,123,NO_COMPANY,NCY,Copiloto,462
51,0,137,KALITTA AIR,KAI,Tripulante de Cabina,463
59,48,53,OCEANAIR,COG,Piloto,464
21,22,53,IBERIA,IBE,Copiloto,465
58,0,29,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina,466
41,19,30,IBERIA,IBE,Piloto,467
21,22,32,OCEANAIR,COG,Copiloto,468
39,0,42,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina,469
25,47,81,LATAM ECUADOR,XLE,Piloto,470
16,0,25,LATAM ECUADOR,XLE,Tripulante de Cabina,471
7,7,19,NO_COMPANY,NCY,Piloto,472
8,45,6,LATAM ECUADOR,XLE,Copiloto,473
25,36,37,KALITTA AIR,KAI,Piloto,474
25,36,112,EASTERN AIRLINES,EAL,Copiloto,475
40,0,35,LAW,LAW,Paramedico,476
59,17,48,LATAM ARGENTINA,LAM,Piloto,477
2,0,96,BRITISH,BTA,Tripulante de Cabina,478
8,15,41,ETHOPIAN AIRLINES,ETA,Copiloto,479
59,48,99,KOREAN AIR,KEA,Copiloto,480
59,17,108,KOREAN AIR,KEA,Piloto,481
59,48,140,LATAM ARGENTINA,LAM,Copiloto,482
22,0,38,EASTERN AIRLINES,EAL,Tripulante de Cabina,483
47,0,109,EASTERN AIRLINES,EAL,Paramedico,484
25,36,95,LATAM CARGO,UCA,Piloto,485
50,0,105,LAW,LAW,Paramedico,486
22,0,109,ALITALIA,AZI,Tripulante de Cabina,487
22,0,8,UNITED,UAN,Tripulante de Cabina,488
31,50,69,LAW,LAW,Copiloto,489
59,17,35,LAW,LAW,Copiloto,490
41,19,34,LATAM DOMESTICO,LUD,Copiloto,491
56,0,81,KALITTA AIR,KAI,Tripulante de Cabina,492
